SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,No,Masculino,"Bogotá, D.C.",1.0,10.0,0.0,1.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,No,Masculino,"Bogotá, D.C.",2.0,9.0,1.0,0.0,0.8888888888888888,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,No,Femenino,"Bogotá, D.C.",1.0,10.0,2.0,2.0,0.8,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,No,Femenino,"Bogotá, D.C.",2.0,12.0,1.0,3.0,0.9166666666666666,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,No,Masculino,"Bogotá, D.C.",1.0,16.0,1.0,2.0,0.9375,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,No,Masculino,"Bogotá, D.C.",2.0,13.0,4.0,0.0,0.6923076923076923,1
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,Valle del Cauca,1.0,25.0,7.0,14.0,0.72,1
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,Valle del Cauca,2.0,26.0,24.0,13.0,0.07692307692307687,0
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,Valle del Cauca,1.0,11.0,2.0,8.0,0.8181818181818181,1
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,Valle del Cauca,2.0,8.0,4.0,1.0,0.5,0
Oficial,Especialización universitaria,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Femenino,Tolima,1.0,4.0,0.0,0.0,1.0,1
Oficial,Especialización universitaria,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Femenino,Tolima,2.0,7.0,5.0,7.0,0.2857142857142857,0
Oficial,Especialización universitaria,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Masculino,Tolima,1.0,6.0,0.0,0.0,1.0,1
Oficial,Especialización universitaria,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Masculino,Tolima,2.0,3.0,5.0,3.0,0.0,0
Privado,Universitario,Pregrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,Santander,1.0,41.0,0.0,1.0,1.0,1
Privado,Universitario,Pregrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,Santander,2.0,38.0,9.0,1.0,0.7631578947368421,1
Privado,Universitario,Pregrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,Santander,1.0,7.0,0.0,0.0,1.0,1
Privado,Universitario,Pregrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,Santander,2.0,4.0,1.0,0.0,0.75,1
Privado,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Femenino,Valle del Cauca,1.0,21.0,2.0,4.0,0.9047619047619048,1
Privado,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Femenino,Valle del Cauca,2.0,19.0,1.0,1.0,0.9473684210526316,1
Privado,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Masculino,Valle del Cauca,1.0,90.0,2.0,12.0,0.9777777777777777,1
Privado,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Masculino,Valle del Cauca,2.0,86.0,11.0,11.0,0.872093023255814,1
Privado,Universitario,Pregrado,A distancia,"Economía, administración, contaduría y afines",Institución Universitaria/Escuela Tecnológica,Si,No,Femenino,"Bogotá, D.C.",1.0,113.0,22.0,27.0,0.8053097345132744,1
Privado,Universitario,Pregrado,A distancia,"Economía, administración, contaduría y afines",Institución Universitaria/Escuela Tecnológica,Si,No,Femenino,Bolívar,1.0,80.0,6.0,14.0,0.925,1
Privado,Universitario,Pregrado,A distancia,"Economía, administración, contaduría y afines",Institución Universitaria/Escuela Tecnológica,Si,No,Femenino,"Bogotá, D.C.",2.0,111.0,16.0,23.0,0.8558558558558559,1
Privado,Universitario,Pregrado,A distancia,"Economía, administración, contaduría y afines",Institución Universitaria/Escuela Tecnológica,Si,No,Femenino,Bolívar,2.0,87.0,11.0,18.0,0.8735632183908046,1
Privado,Universitario,Pregrado,A distancia,"Economía, administración, contaduría y afines",Institución Universitaria/Escuela Tecnológica,Si,No,Masculino,"Bogotá, D.C.",1.0,71.0,9.0,23.0,0.8732394366197183,1
Privado,Universitario,Pregrado,A distancia,"Economía, administración, contaduría y afines",Institución Universitaria/Escuela Tecnológica,Si,No,Masculino,Bolívar,1.0,33.0,1.0,9.0,0.9696969696969697,1
