SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION,PROB_RIESGO_ALTO,PRED_RIESGO
Oficial,Especialización universitaria,Posgrado,A distancia,Ciencias de la educación,Universidad,Si,No,Femenino,Tolima,2.0,26.0,10.0,8.0,0.6153846153846154,1,79.0,1
Oficial,Especialización universitaria,Posgrado,A distancia,Ciencias de la educación,Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,1.0,0.0,0.0,1.0,1,90.0,1
Oficial,Especialización universitaria,Posgrado,A distancia,Ciencias de la educación,Universidad,Si,No,Masculino,Tolima,1.0,2.0,0.0,2.0,1.0,1,90.0,1
Oficial,Especialización universitaria,Posgrado,A distancia,Ciencias de la educación,Universidad,Si,No,Masculino,Tolima,2.0,3.0,0.0,1.0,1.0,1,81.0,1
Oficial,Doctorado,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Femenino,Norte de Santander,1.0,7.0,0.0,0.0,1.0,1,100.0,1
Oficial,Doctorado,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Femenino,Norte de Santander,2.0,7.0,0.0,0.0,1.0,1,100.0,1
Oficial,Doctorado,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Masculino,Norte de Santander,1.0,19.0,0.0,4.0,1.0,1,99.0,1
Oficial,Doctorado,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Masculino,Norte de Santander,2.0,20.0,0.0,0.0,1.0,1,99.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Magdalena,1.0,128.0,0.0,26.0,1.0,1,100.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Magdalena,2.0,121.0,3.0,0.0,0.975206611570248,1,100.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Magdalena,1.0,40.0,0.0,9.0,1.0,1,100.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Magdalena,2.0,40.0,5.0,0.0,0.875,1,95.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Magdalena,1.0,126.0,0.0,39.0,1.0,1,100.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Magdalena,2.0,122.0,0.0,0.0,1.0,1,100.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Magdalena,1.0,57.0,0.0,16.0,1.0,1,100.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Magdalena,2.0,52.0,0.0,0.0,1.0,1,94.0,1
Oficial,Especialización universitaria,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Norte de Santander,1.0,19.0,10.0,12.0,0.4736842105263158,0,86.0,1
Oficial,Especialización universitaria,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Norte de Santander,2.0,17.0,9.0,7.0,0.4705882352941176,0,21.0,0
Oficial,Especialización universitaria,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Norte de Santander,1.0,12.0,4.0,6.0,0.6666666666666667,1,97.0,1
Oficial,Especialización universitaria,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Norte de Santander,2.0,13.0,8.0,7.0,0.3846153846153846,0,24.0,0
Privado,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Antioquia,1.0,16.0,0.0,0.0,1.0,1,85.1,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Antioquia,2.0,15.0,0.0,0.0,1.0,1,95.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Antioquia,1.0,15.0,0.0,0.0,1.0,1,97.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Antioquia,2.0,15.0,0.0,0.0,1.0,1,97.0,1
Oficial,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,Magdalena,2.0,1.0,5.0,0.0,0.0,0,32.9,0
Oficial,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,Magdalena,2.0,1.0,2.0,0.0,0.0,0,43.1,0
Oficial,Maestría,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,Boyacá,1.0,7.0,1.0,0.0,0.8571428571428572,1,95.0,1
Oficial,Maestría,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,Boyacá,2.0,10.0,1.0,2.0,0.9,1,88.2,1
Oficial,Maestría,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,Boyacá,1.0,4.0,2.0,1.0,0.5,0,27.0,0
Oficial,Maestría,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,Boyacá,2.0,7.0,2.0,0.0,0.7142857142857143,1,92.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Bolívar,1.0,99.0,1.0,23.0,0.98989898989899,1,100.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Bolívar,2.0,101.0,0.0,10.0,1.0,1,100.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Bolívar,2.0,1.0,0.0,1.0,1.0,1,97.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Norte de Santander,1.0,273.0,0.0,39.0,1.0,1,100.0,1
